year,title,performer,weeks_on_chart
1959,Venus,Frankie Avalon,17
1959,('til) I Kissed You,The Everly Brothers,16
1959,(Seven Little Girls) Sitting In The Back Seat,Paul Evans and the Curls,16
1959,Battle Hymn Of The Republic,The Mormon Tabernacle Choir,16
1959,Come Softly To Me,The Fleetwoods,16
1959,Deck Of Cards,Wink Martindale,16
1959,Guitar Boogie Shuffle,The Virtues,16
1959,I've Had It,The Bell Notes,16
1959,It Was I,Skip And Flip,16
1959,Just Ask Your Heart,Frankie Avalon,16
1959,Kansas City,Wilbert Harrison,16
1959,Lonely Street,Andy Williams,16
1959,Love Potion No. 9,The Clovers,16
1959,Mary Lou,Ronnie Hawkins and The Hawks,16
1959,May You Always,The McGuire Sisters,16
1959,Mona Lisa,Carl Mann,16
1959,Never Be Anyone Else But You,Ricky Nelson,16
1959,Only You,Franck Pourcel's French Fiddles,16
1959,Poison Ivy,The Coasters,16
1959,Quiet Village,The Exotic Sounds of Martin Denny,16
1959,So Fine,The Fiestas,16
1959,Teen Beat,Sandy Nelson,16
1959,The Angels Listened In,The Crests,16
1959,The Wonder Of You,Ray Peterson,16
1959,There Is Something On Your Mind,Big Jay McNeely And Band,16
1959,Waterloo,Stonewall Jackson,16
1959,You Were Mine,Fireflies,16
1959,(All of a Sudden) My Heart Sings,Paul Anka,15
1959,(Now and Then There's) A Fool Such As I,Elvis Presley With The Jordanaires,15
1959,16 Candles,The Crests,15
1959,A Teenager In Love,Dion & The Belmonts,15
1959,Charlie Brown,The Coasters,15
1959,Come To Me,Marv Johnson,15
1959,Don't You Know,Della Reese,15
1959,Enchanted,The Platters,15
1959,Forty Miles Of Bad Road,Duane Eddy And The Rebels,15
1959,Frankie,Connie Francis,15
1959,Hey Little Girl,Dee Clark,15
1959,Hushabye,The Mystics,15
1959,"I Loves You, Porgy",Nina Simone,15
1959,In The Mood,Ernie Fields & Orch.,15
1959,Just Keep It Up,Dee Clark,15
1959,Lonely Boy,Paul Anka,15
1959,Lonely Teardrops,Jackie Wilson,15
1959,Matilda,Cookie And His Cupcakes,15
1959,Petite Fleur (Little Flower),Chris Barber's Jazz Band,15
1959,Small World,Johnny Mathis,15
1959,Tall Paul,Annette With The Afterbeats,15
1959,Tallahassee Lassie,Freddy Cannon,15
1959,What'd I Say (Part I & II),Ray Charles and his Orchestra,15
1959,A Big Hunk O' Love,Elvis Presley With The Jordanaires,14
1959,A Boy Without A Girl,Frankie Avalon,14
1959,Caribbean,Mitchell Torok,14
1959,Crossfire,Johnny And The Hurricanes,14
1959,Danny Boy,Conway Twitty,14
1959,"Goodbye Jimmy, Goodbye",Kathy Linden,14
1959,Gotta Travel On,Billy Grammer,14
1959,I Ain't Never,Webb Pierce,14
1959,I'm Gonna Get Married,Lloyd Price,14
1959,I've Come Of Age,Billy Storm,14
1959,It Doesn't Matter Anymore,Buddy Holly,14
1959,La Bamba,Ritchie Valens,14
1959,Lonely For You,Gary Stites,14
1959,My Happiness,Connie Francis,14
1960,Finger Poppin' Time,Hank Ballard And The Midnighters,26
1960,Sixteen Reasons,Connie Stevens,24
1960,I'm Sorry,Brenda Lee,23
1960,He'll Have To Go,Jim Reeves,22
1960,"Please Help Me, I'm Falling",Hank Locklin,22
1960,Sweet Nothin's,Brenda Lee,22
1960,Lonely Weekends,Charlie Rich,21
1960,Only The Lonely (Know How I Feel),Roy Orbison,21
1960,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,21
1960,Greenfields,The Brothers Four,20
1960,It's Now Or Never,Elvis Presley With The Jordanaires,20
1960,Let The Little Girl Dance,Billy Bland,20
1960,Mission Bell,Donnie Brooks,20
1960,Theme From The Apartment,Ferrante & Teicher,20
1960,Devil Or Angel,Bobby Vee,19
1960,Hot Rod Lincoln,Charlie Ryan and the Timberline Riders,19
1960,Love You So,Ron Holden with The Thunderbirds,19
1960,Mountain Of Love,Harold Dorman,19
1960,Everybody's Somebody's Fool,Connie Francis,18
1960,Image Of A Girl,Safaris with The Phantom's Band,18
1960,Mule Skinner Blues,The Fendermen,18
1960,Sink The Bismark,Johnny Horton,18
1960,The Twist,Chubby Checker,18
1960,Walk -- Don't Run,The Ventures,18
1960,Am I That Easy To Forget,Debbie Reynolds,17
1960,Burning Bridges,Jack Scott,17
1960,Cathy's Clown,The Everly Brothers,17
1960,Fannie Mae,Buster Brown,17
1960,Handy Man,Jimmy Jones,17
1960,Kiddio,Brook Benton,17
1960,Money (That's what I want),Barrett Strong,17
1960,My Heart Has A Mind Of Its Own,Connie Francis,17
1960,Night,Jackie Wilson,17
1960,Paper Roses,Anita Bryant,17
1960,Save The Last Dance For Me,The Drifters,17
1960,Anymore,Teresa Brewer,16
1960,Chain Gang,Sam Cooke,16
1960,Diamonds And Pearls,The Paradons,16
1960,Doggin' Around,Jackie Wilson,16
1960,Harbor Lights,The Platters,16
1960,Ooh Poo Pah Doo - Part II,Jessie Hill,16
1960,Rockin' Little Angel,Ray Smith,16
1960,Running Bear,Johnny Preston,16
1960,Sleep,Little Willie John,16
1960,Stuck On You,Elvis Presley With The Jordanaires,16
1960,Teen Angel,Mark Dinning,16
1960,The Twist,Hank Ballard And The Midnighters,16
1960,What In The World's Come Over You,Jack Scott,16
1960,Wild One,Bobby Rydell,16
1960,(There Was A) Tall Oak Tree,Dorsey Burnette,15
1960,A Million To One,Jimmy Charles and The Revelletts,15
1960,All I Could Do Was Cry,Etta James,15
1960,Alley-Oop,Hollywood Argyles,15
1960,Angela Jones,Johnny Ferguson,15
1960,Baby (You've Got What It Takes),Dinah Washington & Brook Benton,15
1960,Because They're Young,Duane Eddy And The Rebels,15
1960,Cherry Pie,Skip And Flip,15
1960,Cradle Of Love,Johnny Preston,15
1960,Dreamin',Johnny Burnette,15
1960,Good Timin',Jimmy Jones,15
1960,Harlem Nocturne,The Viscounts,15
1960,I Want To Be Wanted,Brenda Lee,15
1960,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,15
1960,Let It Be Me,The Everly Brothers,15
1960,"Let's Go, Let's Go, Let's Go",Hank Ballard And The Midnighters,15
1960,Little Bitty Girl,Bobby Rydell,15
1960,Never On Sunday,Don Costa And His Orchestra And Chorus,15
1960,North To Alaska,Johnny Horton,15
1960,Over The Rainbow,The Demensions,15
1960,Stairway To Heaven,Neil Sedaka,15
1960,Step By Step,The Crests,15
1960,The Old Lamplighter,The Browns Featuring Jim Edward Brown,15
1960,Volare,Bobby Rydell,15
1960,Where Or When,Dion & The Belmonts,15
1960,Wonderful World,Sam Cooke,15
1960,Baby What You Want Me To Do,Jimmy Reed,14
1960,Beyond The Sea,Bobby Darin,14
1960,Big Boy Pete,The Olympics,14
1960,Blue Angel,Roy Orbison,14
1960,Clap Your Hands,The Beau-Marks,14
1960,Down By The Station,The Four Preps,14
1960,El Paso,Marty Robbins,14
1960,Feel So Fine,Johnny Preston,14
1960,Forever,The Little Dippers,14
1960,Happy-Go-Lucky-Me,Paul Evans,14
1960,In My Little Corner Of The World,Anita Bryant,14
1960,Let's Think About Living,Bob Luman,14
1960,Lonely Blue Boy,Conway Twitty,14
1960,Mack The Knife,Ella Fitzgerald,14
1960,One Of Us (Will Weep Tonight),Patti Page,14
1960,Pineapple Princess,Annette With The Afterbeats,14
1960,Puppy Love,Paul Anka,14
1960,Ta Ta,Clyde McPhatter,14
1960,Tell Laura I Love Her,Ray Peterson,14
1960,That's All You Gotta Do,Brenda Lee,14
1960,This Bitter Earth,Dinah Washington,14
1960,Tracy's Theme,Spencer Ross,14
1960,Walking To New Orleans,Fats Domino,14
1960,White Silver Sands,Bill Black's Combo,14
1960,Why Do I Love You So,Johnny Tillotson,14
1961,Tossin' And Turnin',Bobby Lewis,23
1961,I Fall To Pieces,Patsy Cline,20
1961,My True Story,The Jive Five With Joe Rene And Orchestra,19
1961,Let's Twist Again,Chubby Checker,18
1961,Apache,Jorgen Ingmann & His Guitar,17
1961,"I Like It Like That, Part 1",Chris Kenner,17
1961,Michael,The Highwaymen,17
1961,Please Mr. Postman,The Marvelettes,17
1961,Runaway,Del Shannon,17
1961,Running Scared,Roy Orbison,17
1961,You're The Reason,Bobby Edwards,17
1961,Better Tell Him No,The Starlets,16
1961,Bristol Stomp,The Dovells,16
1961,But I Do,Clarence Henry,16
1961,Crying,Roy Orbison,16
1961,Dedicated To The One I Love,The Shirelles,16
1961,Pony Time,Chubby Checker,16
1961,Portrait Of My Love,Steve Lawrence,16
1961,Raindrops,Dee Clark,16
1961,Spanish Harlem,Ben E. King,16
1961,The Boll Weevil Song,Brook Benton,16
1961,Three Hearts In A Tangle,Roy Drusky,16
1961,Travelin' Man,Ricky Nelson,16
1961,Wheels,The String-A-Longs,16
1961,Wooden Heart,Joe Dowell,16
1961,A Hundred Pounds Of Clay,Gene McDaniels,15
1961,Don't Worry,Marty Robbins,15
1961,Foot Stomping - Part 1,The Flares,15
1961,Hello Mary Lou,Ricky Nelson,15
1961,Hello Walls,Faron Young,15
1961,I Love How You Love Me,The Paris Sisters,15
1961,I Understand (Just How You Feel),The G-Clefs,15
1961,It's Gonna Work Out Fine,Ike & Tina Turner,15
1961,Just Out Of Reach (Of My Two Open Arms),Solomon Burke,15
1961,Mexico,Bob Moore and His Orch.,15
1961,Missing You,Ray Peterson,15
1961,Moody River,Pat Boone,15
1961,Quarter To Three,U.S. Bonds,15
1961,Take Good Care Of My Baby,Bobby Vee,15
1961,The Mountain's High,Dick and DeeDee,15
1961,Where The Boys Are,Connie Francis,15
1961,Asia Minor,Kokomo,14
1961,Baby Sittin' Boogie,Buzz Clifford,14
1961,Blue Moon,The Marcels,14
1961,Calcutta,Lawrence Welk And His Orchestra,14
1961,Candy Man,Roy Orbison,14
1961,Daddy's Home,Shep And The Limelites,14
1961,Don't Bet Money Honey,Linda Scott,14
1961,Exodus,Ferrante & Teicher,14
1961,Gee Whiz (Look At His Eyes),Carla Thomas,14
1961,I've Told Every Little Star,Linda Scott,14
1961,Just For Old Time's Sake,The McGuire Sisters,14
1961,Last Night,Mar-Keys,14
1961,Let's Get Together,Hayley Mills and Hayley Mills,14
1961,Mother-In-Law,Ernie K-Doe,14
1961,My Kind Of Girl,Matt Monro,14
1961,Runaround Sue,Dion,14
1961,Sad Movies (Make Me Cry),Sue Thompson,14
1961,Sea Of Heartbreak,Don Gibson,14
1961,Stand By Me,Ben E. King,14
1961,Take Good Care Of Her,Adam Wade,14
1961,There's A Moon Out Tonight,The Capris,14
1961,Tonight I Fell In Love,The Tokens,14
1961,Water Boy,Don Shirley Trio,14
1961,Big Bad John,Jimmy Dean,13
1961,Calendar Girl,Neil Sedaka,13
1961,Every Beat Of My Heart,Pips,13
1961,Fool #1,Brenda Lee,13
1961,Hats Off To Larry,Del Shannon,13
1961,Hit The Road Jack,Ray Charles and his Orchestra,13
1961,I'm Gonna Knock On Your Door,Eddie Hodges,13
1961,Little Sister,Elvis Presley,13
1961,On The Rebound,Floyd Cramer,13
1961,Once Upon A Time,Rochell And The Candles With Johnny Wyatt,13
1961,One Mint Julep,Ray Charles,13
1961,Shop Around,"The Miracles (featuring Bill ""Smokey"" Robinson)",13
1961,The Fly,Chubby Checker,13
1961,The Girl's A Devil,The Dukays,13
1961,The Way You Look Tonight,The Lettermen,13
1961,This Time,Troy Shondell,13
1961,Those Oldies But Goodies (Remind Me Of You),Little Caesar and The Romans,13
1961,Tower Of Strength,Gene McDaniels,13
1961,Triangle,Janie Grant,13
1961,Walk Right Back,The Everly Brothers,13
1961,Will You Love Me Tomorrow,The Shirelles,13
1961,Wings Of A Dove,Ferlin Husky,13
1961,Without You,Johnny Tillotson,13
1961,Ya Ya,Lee Dorsey,13
1961,All In My Mind,Maxine Brown,12
1961,Baby Blue,The Echoes,12
1961,Bless You,Tony Orlando,12
1961,Cupid,Sam Cooke,12
1961,Dum Dum,Brenda Lee,12
1961,Ebony Eyes,The Everly Brothers,12
1961,Emotions,Brenda Lee,12
1961,Ginnie Bell,Paul Dino,12
1961,Heartaches,The Marcels,12
1961,Hurt,Timi Yuro,12
1961,I Dreamed Of A Hill-Billy Heaven,Tex Ritter,12
1961,I Just Don't Understand,Ann-Margret,12
1962,I Left My Heart In San Francisco,Tony Bennett,21
1962,Stranger On The Shore,Mr. Acker Bilk,21
1962,Alley Cat,Bent Fabric and His Piano,18
1962,Do You Love Me,The Contours,18
1962,I Can't Stop Loving You,Ray Charles,18
1962,Let Me In,The Sensations,18
1962,Mashed Potato Time,Dee Dee Sharp,18
1962,He's A Rebel,The Crystals,17
1962,Limbo Rock,Chubby Checker,17
1962,Surfin' Safari,The Beach Boys,17
1962,The One Who Really Loves You,Mary Wells,17
1962,The Stripper,David Rose and His Orchestra,17
1962,Baby Elephant Walk,Lawrence Welk And His Orchestra,16
1962,Green Onions,Booker T. & The MG's,16
1962,Ramblin' Rose,Nat King Cole,16
1962,The Loco-Motion,Little Eva,16
1962,Twist And Shout,The Isley Brothers,16
1962,Wolverton Mountain,Claude King,16
1962,A Taste Of Honey,Martin Denny and His Orchestra,15
1962,Duke Of Earl,Gene Chandler,15
1962,Having A Party,Sam Cooke,15
1962,Hey! Baby,Bruce Channel,15
1962,Johnny Angel,Shelley Fabares,15
1962,Palisades Park,Freddy Cannon,15
1962,Party Lights,Claudine Clark,15
1962,Playboy,The Marvelettes,15
1962,Roses Are Red (My Love),Bobby Vinton,15
1962,Tuff,Ace Cannon,15
1962,Twistin' The Night Away,Sam Cooke,15
1962,What Kind Of Fool Am I,Sammy Davis Jr.,15
1962,Al Di La',Emilio Pericoli,14
1962,All Alone Am I,Brenda Lee,14
1962,Breaking Up Is Hard To Do,Neil Sedaka,14
1962,Come On Little Angel,The Belmonts,14
1962,Dear One,Larry Finnegan,14
1962,Desafinado,Stan Getz/Charlie Byrd,14
1962,Fortuneteller,Bobby Curtola,14
1962,It Keeps Right On A-Hurtin',Johnny Tillotson,14
1962,Johnny Get Angry,Joanie Sommers,14
1962,Let's Dance,Chris Montez,14
1962,Love Letters,Ketty Lester,14
1962,Lover Please,Clyde McPhatter,14
1962,Midnight In Moscow,Kenny Ball and his Jazzmen,14
1962,Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers",14
1962,Moon River,Henry Mancini And His Orchestra,14
1962,Only Love Can Break A Heart,Gene Pitney,14
1962,Patches,Dickey Lee,14
1962,Rinky Dink,Baby Cortez,14
1962,Sealed With A Kiss,Brian Hyland,14
1962,She Cried,Jay & The Americans,14
1962,Sheila,Tommy Roe,14
1962,Sherry,The 4 Seasons,14
1962,Shout! Shout! (Knock Yourself Out),Ernie Maresca,14
1962,Slow Twistin',Chubby Checker (with Dee Dee Sharp),14
1962,Smoky Places,"The Corsairs Featuring Jay ""Bird"" Uzzell",14
1962,Soldier Boy,The Shirelles,14
1962,Tell Me,Dick and DeeDee,14
1962,The Twist,Chubby Checker,14
1962,The Wah Watusi,The Orlons,14
1962,The Wanderer,Dion,14
1962,Theme From Dr. Kildare (Three Stars Will Shine Tonight),Richard Chamberlain,14
1962,Torture,Kris Jensen,14
1962,Twistin' Matilda (and the channel),Jimmy Soul,14
1962,Where Have All The Flowers Gone,The Kingston Trio,14
1962,(Dance With The) Guitar Man,Duane Eddy and the Rebelettes,13
1962,(The Man Who Shot) Liberty Valance,Gene Pitney,13
1962,Break It To Me Gently,Brenda Lee,13
1962,Cindy's Birthday,Johnny Crawford,13
1962,Close To Cathy,Mike Clifford,13
1962,Cotton Fields,The Highwaymen,13
1962,Crying In The Rain,The Everly Brothers,13
1962,Dear Lady Twist,Gary U.S. Bonds,13
1962,Don't Break The Heart That Loves You,Connie Francis,13
1962,Good Luck Charm,Elvis Presley With The Jordanaires,13
1962,"Hide & Go Seek, Part I",Bunker Hill,13
1962,I Need Your Loving,Don Gardner And Dee Dee Ford,13
1962,Jamie,Eddie Holland,13
1962,Limbo Rock,The Champs,13
1962,Percolator (Twist),Billy Joe & The Checkmates,13
1962,Popeye (The Hitchhiker),Chubby Checker,13
1962,She's Got You,Patsy Cline,13
1962,So This Is Love,The Castells,13
1962,Soul Twist,King Curtis And The Noble Knights,13
1962,Speedy Gonzales,Pat Boone,13
1962,Stormy Monday Blues,Bobby Bland,13
1962,Uptown,The Crystals,13
1962,Venus In Blue Jeans,Jimmy Clanton,13
1962,Walk On The Wild Side (Part 1),Jimmy Smith And The Big Band,13
1962,What's Your Name,Don & Juan,13
1962,You Belong To Me,The Duprees,13
1962,You'll Lose A Good Thing,Barbara Lynn,13
1962,Young World,Rick Nelson,13
1962,A Little Bitty Tear,Burl Ives,12
1962,A Swingin' Safari,Billy Vaughn And His Orchestra,12
1962,Any Day Now (My Wild Beautiful Bird),Chuck Jackson,12
1962,Baby It's You,The Shirelles,12
1962,Caterina,Perry Como,12
1962,Don't Hang Up,The Orlons,12
1962,Don't Play That Song (You Lied),Ben E. King,12
1962,Dream Baby (How Long Must I Dream),Roy Orbison,12
1963,Days Of Wine And Roses,Henry Mancini And His Orchestra,18
1963,Mockingbird,Inez Foxx with Charlie Foxx,18
1963,Denise,Randy & The Rainbows,17
1963,Surfin' U.S.A.,The Beach Boys,17
1963,The End Of The World,Skeeter Davis,17
1963,Come And Get These Memories,Martha & The Vandellas,16
1963,I Love You Because,Al Martino,16
1963,I Wanna Be Around,Tony Bennett,16
1963,Pipeline,Chantay's,16
1963,Rhythm Of The Rain,The Cascades,16
1963,Wild Weekend,The Rebels,16
1963,Wipe Out,The Surfaris,16
1963,Blame It On The Bossa Nova,Eydie Gorme,15
1963,Blowin' In The Wind,"Peter, Paul & Mary",15
1963,Blue Velvet,Bobby Vinton,15
1963,Can't Get Used To Losing You,Andy Williams,15
1963,Deep Purple,Nino Tempo & April Stevens,15
1963,Fingertips - Pt 2,Little Stevie Wonder,15
1963,He's So Fine,The Chiffons,15
1963,More,Kai Winding & Orchestra,15
1963,So Much In Love,The Tymes,15
1963,Still,Bill Anderson,15
1963,Sugar Shack,Jimmy Gilmer And The Fireballs,15
1963,The Monkey Time,Major Lance,15
1963,Two Faces Have I,Lou Christie,15
1963,Abilene,George Hamilton IV,14
1963,Cast Your Fate To The Wind,Vince Guaraldi Trio,14
1963,Cry Baby,Garnet Mimms & The Enchanters,14
1963,Foolish Little Girl,The Shirelles,14
1963,Heat Wave,Martha & The Vandellas,14
1963,Hello Stranger,Barbara Lewis,14
1963,Hey Paula,Paul and Paula,14
1963,I Will Follow Him,Little Peggy March,14
1963,If I Had A Hammer,Trini Lopez,14
1963,If You Wanna Be Happy,Jimmy Soul,14
1963,It's All Right,The Impressions,14
1963,Just One Look,Doris Troy,14
1963,Mama Didn't Lie,Jan Bradley,14
1963,Maria Elena,Los Indios Tabajaras,14
1963,My Boyfriend's Back,The Angels,14
1963,Our Winter Love,Bill Pursell,14
1963,Pride And Joy,Marvin Gaye,14
1963,Puff (The Magic Dragon),"Peter, Paul & Mary",14
1963,She's A Fool,Lesley Gore,14
1963,Sukiyaki,Kyu Sakamoto,14
1963,Surfer Girl,The Beach Boys,14
1963,Washington Square,The Village Stompers,14
1963,You Can't Sit Down,The Dovells,14
1963,You're The Reason I'm Living,Bobby Darin,14
1963,(Down At) Papa Joe's,The Dixiebelles,13
1963,Be My Baby,The Ronettes,13
1963,Blue On Blue,Bobby Vinton,13
1963,Candy Girl,The 4 Seasons,13
1963,Da Doo Ron Ron (When He Walked Me Home),The Crystals,13
1963,Don't Say Nothin' Bad (About My Baby),The Cookies,13
1963,Down The Aisle (Wedding Song),Patti LaBelle And The Blue Belles,13
1963,Easier Said Than Done,The Essex,13
1963,Fools Rush In,Rick Nelson,13
1963,I Can't Stay Mad At You,Skeeter Davis,13
1963,I'm Leaving It Up To You,Dale & Grace,13
1963,In Dreams,Roy Orbison,13
1963,It's My Party,Lesley Gore,13
1963,Killer Joe,The Rocky Fellers,13
1963,Linda,Jan & Dean,13
1963,Losing You,Brenda Lee,13
1963,Martian Hop,The Ran-Dells,13
1963,Mean Woman Blues,Roy Orbison,13
1963,Memphis,Lonnie Mack,13
1963,Mr. Bass Man,Johnny Cymbal,13
1963,Our Day Will Come,Ruby And The Romantics,13
1963,Part Time Love,Little Johnny Taylor,13
1963,Ring Of Fire,Johnny Cash,13
1963,Ruby Baby,Dion,13
1963,Shut Down,The Beach Boys,13
1963,South Street,The Orlons,13
1963,Surf City,Jan & Dean,13
1963,"That Sunday, That Summer",Nat King Cole,13
1963,The Gypsy Cried,Lou Christie,13
1963,Walk Like A Man,The 4 Seasons,13
1963,Walk Right In,The Rooftop Singers,13
1963,Walking The Dog,Rufus Thomas,13
1963,All I Have To Do Is Dream,Richard Chamberlain,12
1963,Baby Workout,Jackie Wilson,12
1963,Busted,Ray Charles and his Orchestra,12
1963,Call On Me,Bobby Bland,12
1963,Danke Schoen,Wayne Newton And The Newton Brothers,12
1963,Days Of Wine And Roses,Andy Williams,12
1963,Detroit City,Bobby Bare,12
1963,Everybody,Tommy Roe,12
1963,Fly Me To The Moon - Bossa Nova,Joe Harnell And His Orchestra,12
1963,From A Jack To A King,Ned Miller,12
1963,"Green, Green",The New Christy Minstrels,12
1963,"Hey, Girl",Freddie Scott,12
1963,Hitch Hike,Marvin Gaye,12
1963,I (Who Have Nothing),Ben E. King,12
1963,Little Band Of Gold,James Gilreath,12
1963,Little Town Flirt,Del Shannon,12
1963,Mickey's Monkey,The Miracles,12
1963,"Painted, Tainted Rose",Al Martino,12
1963,Rainbow,Gene Chandler,12
