year,title,performer,weeks_on_chart,loudness,mean_active_notes,change_frequency,unique_chords,weighted_std,dynamic_range
1958,I Got A Feeling,Ricky Nelson,12,-9.37427159573479,4.694228949858089,1.813434247871334,7.0,101.31359233456244,642.3317823978704
1958,La-Do-Dada,Dale Hawkins,12,-6.788542493446269,4.74672619047619,1.5636904761904762,5.0,112.0213477396534,874.4936052581467
1958,"Promise Me, Love",Andy Williams,12,-14.562584202488898,4.429440789473684,1.718092105263158,7.0,145.12578416247757,861.4503235453773
1958,Western Movies,The Olympics,12,-13.344589879053212,4.86225229579507,1.750120831319478,8.0,91.25522552168472,773.9064449459883
1958,You Cheated,The Slades,12,-12.843836067873399,4.1128883420486,1.1113503537373115,7.0,92.75471723522998,726.0501938896118
1958,A Letter To An Angel,Jimmy Clanton,11,,,,,,
1958,All Over Again,Johnny Cash,11,-8.142937849123747,4.576110315186247,1.704512893982808,7.0,143.2513035005339,806.5820797797946
1958,Blue Ribbon Baby,Tommy Sands And The Raiders,11,,,,,,
1958,For My Good Fortune,Pat Boone,11,-14.264331252940941,5.003217158176944,2.0184092940125113,7.0,89.39462149198592,842.2263564489455
1958,Ginger Bread,Frankie Avalon,11,-11.578928135592356,4.82822673305247,1.9967445423209498,5.0,68.88250107758705,737.6484389433296
1958,I'll Wait For You,Frankie Avalon,11,-12.970296184352856,4.14525730916788,1.2718613573223971,8.0,114.7665305751831,783.5287602011211
1958,Lonesome Town,Ricky Nelson,11,-15.736886495976846,4.272431361449193,1.6419473535239173,8.0,145.1694312118712,873.5563035684786
1958,Non Dimenticar (Don't Forget),Nat King Cole,11,-12.583986037956256,4.123338870431894,1.4440753045404209,8.0,108.0589521843432,887.7442324599571
1958,Over And Over,Bobby Day,11,-13.991364119077842,4.681982872200264,1.9617918313570488,7.0,133.337543640316,882.5652033515483
1958,Poor Boy,The Royaltones,11,-11.974798668177382,4.639403916132386,1.7579275688788771,7.0,100.00699442681292,555.2326238600314
1958,Poor Little Fool,Ricky Nelson,11,-13.14024599190007,4.458440966418477,1.5590335815225649,8.0,149.7475911815445,875.5435387463291
1958,"Summertime, Summertime",The Jamies,11,-12.459213851910482,4.475914861837192,1.7628827483196414,7.0,142.41367677539793,963.7785435748245
1958,The Ballad Of Thunder Road,Robert Mitchum,11,-13.614927718182056,4.669264863212594,2.006419073819349,6.0,128.55294024189917,871.7612331130398
1958,The Ways Of A Woman In Love,Johnny Cash And The Tennessee Two,11,,,,,,
1958,Baby Face,Little Richard,10,-12.509993820005617,4.904069264069264,2.0197402597402596,5.0,87.68513390947562,1027.2600971529766
1958,Carol,Chuck Berry,10,-11.188553556884207,4.696672649454646,2.0527405771089327,5.0,84.41185886598419,868.4649435298492
1958,Cimarron (Roll On),Billy Vaughn And His Orchestra,10,,,,,,
1958,Fallin',Connie Francis,10,-11.610970643721126,4.561351819757365,1.7181975736568458,6.0,128.1861521779537,980.7737602000346
1958,Give Myself A Party,Don Gibson,10,-15.052858064426465,4.568636161705909,1.5427217532948319,7.0,128.3626754219246,890.8055251528466
1958,I Wish,The Platters,10,-14.247970845462282,4.311246978529788,1.5353334281245556,7.0,122.67971844379525,951.504512829934
1958,I'll Remember Tonight,Pat Boone,10,-13.744947121056473,4.29808,1.35168,7.0,137.65139570384721,918.7179708213812
1958,If Dreams Came True,Pat Boone,10,-13.806427381144019,3.987784090909091,1.0786931818181817,7.0,115.12131625790549,907.4284306404426
1958,Jealous Heart,Tab Hunter,10,-11.407266218234339,4.6044266932933935,1.6442003661174904,7.0,110.65604470546322,913.3093081557639
1958,La Paloma,Billy Vaughn And His Orchestra,10,-17.80033131112409,3.993038366336634,1.2537128712871286,8.0,96.327391055192,857.1171429893228
1958,Lazy Summer Night,The Four Preps,10,,,,,,
1958,Look Who's Blue,Don Gibson,10,-14.226695425270814,4.843675982946471,1.9592610137375652,8.0,127.88297857063873,879.3329089108547
1958,Love Is All We Need,Tommy Edwards,10,-15.211939438108368,4.453006681514476,1.676763177431329,8.0,85.94011121121422,797.4034203830762
1958,Love Makes The World Go 'round,Perry Como,10,-14.382027882779573,4.718049707999457,1.9562678256145594,6.0,87.13283407714563,817.2770904089667
1958,Mandolins In The Moonlight,Perry Como,10,-12.311514412098537,4.488520408163265,1.747732426303855,8.0,112.52603823102363,887.5241934105537
1958,Mr. Success,Frank Sinatra,10,-6.9807823734103875,4.896698313731047,1.9064758395918946,7.0,125.60474949180336,900.5730660171911
1958,Put A Ring On My Finger,Les Paul And Mary Ford,10,,,,,,
1958,The Blob,The Five Blobs,10,-12.195383330763342,4.836435010177377,1.783076475719686,6.0,123.0047991222733,1112.8734287820414
1958,The Green Mosquito,The Tune Rockers,10,,,,,,
1958,This Little Girl's Gone Rockin',Ruth Brown,10,-11.790714106436631,4.524816381037169,1.9065212552860005,6.0,101.57958931007023,712.6762594635958
1958,Walking Along,The Diamonds,10,-16.83686727242579,5.197753180241203,1.8255410540227985,6.0,97.4122897121287,847.9148475848583
1958,Willie And The Hand Jive,The Johnny Otis Show,10,-14.275977807724127,5.262123004139562,2.0612063867534003,2.0,146.8255347265688,892.7160169094141
1958,With Your Love,Jack Scott,10,-12.955324309292621,4.328834822277134,1.3685611100551227,8.0,104.61118438269806,770.3634613139161
1958,A Certain Smile,Johnny Mathis,9,-19.15219276348581,3.808492806257857,1.1716720212320157,8.0,135.89550334164247,987.1892425281327
1958,Beep Beep,The Playmates,9,-17.1759260068349,4.524519600307456,1.7325134511913913,8.0,139.0228109817348,958.9970615108808
1958,Betty Lou Got A New Pair Of Shoes,Bobby Freeman,9,-10.096415431723088,4.84484404837683,2.036282622533418,6.0,99.40736326839152,794.9437350522998
1958,Cannonball,Duane Eddy His Twangy Guitar And The Rebels,9,,,,,,
1958,Come Closer To Me (Acercate Mas),Nat King Cole,9,-15.851356629818813,4.382292097641705,1.5887463798096815,7.0,158.3901937500539,951.8189461226942
1958,Dance Everyone Dance,Betty Madigan,9,-10.075218527222454,4.488234268781593,1.7221544361164371,7.0,140.39282469877585,968.2994608727585
1958,Early In The Morning,The Rinky-Dinks,9,-14.686290732486395,4.442436757873,1.8072620891412838,7.0,66.27012809634192,822.2397478696915
1958,Fibbin',Patti Page,9,,,,,,
1959,Robbin' The Cradle,Tony Bellus,26,-13.210529221916326,4.4571473256177665,1.6154207069127307,8.0,57.465291973110794,484.22864076994256
1959,My Heart Is An Open Book,"Carl Dobkins, Jr.",24,-15.23076916006983,4.736933461909354,1.7569913211186114,8.0,124.0122643309587,741.3235092226067
1959,The Battle Of New Orleans,Johnny Horton,21,-13.266702337081437,5.06419904776532,2.533097834434035,5.0,86.3893725669551,626.6617627987484
1959,Just As Much As Ever,Bob Beckham,20,-12.031995713217011,4.100367197062424,1.2600979192166462,6.0,187.0720742763924,911.560541620497
1959,Primrose Lane,Jerry Wallace With The Jewels,20,,,,,,
1959,What A Diff'rence A Day Makes,Dinah Washington,20,-16.057610895786148,4.148665234734581,1.4203743479594968,8.0,153.6997744022371,974.7480219313729
1959,You're So Fine,The Falcons,20,-13.193013906573952,4.46763728438044,1.7297040670992245,7.0,120.82983169800671,1103.0937701945643
1959,Broken-Hearted Melody,Sarah Vaughan,19,-9.676370951692276,4.286425702811245,1.6236144578313254,6.0,124.84456422532345,985.814916689305
1959,Mack The Knife,Bobby Darin,19,-16.511731910312996,4.379727259946577,1.5270631238577252,8.0,119.77059994107218,868.3784986072545
1959,Personality,Lloyd Price and His Orchestra,19,,,,,,
1959,Pink Shoe Laces,Dodie Stevens,19,-17.95321327751785,4.689100562148657,1.9803247970018738,7.0,131.86374625655705,824.9893050264054
1959,Since I Don't Have You,The Skyliners,19,-16.25341519771545,4.185512119938349,1.3041894353369763,7.0,141.76678017985435,977.9592108861634
1959,The Hawaiian Wedding Song (Ke Kali Nei Au),Andy Williams,19,-12.951431854295793,3.870493358633776,1.053763440860215,7.0,112.88777456196355,854.0279923568006
1959,There Goes My Baby,The Drifters,19,-11.384829762090824,4.710086252420348,1.745467347298011,7.0,130.5364177788619,788.9303355727972
1959,Tragedy,Thomas Wayne With the Delons,19,-9.44200123670755,4.289145907473309,1.1252669039145908,8.0,134.42611242454373,844.2617077532096
1959,It's Just A Matter Of Time,Brook Benton,18,-8.31746905571774,4.168377823408624,1.492023377033644,6.0,120.04484445935987,850.0312061219714
1959,Lavender-Blue,Sammy Turner,18,-17.447578072264395,4.021243252655407,1.3560856695107086,7.0,119.94244905648368,672.3207981759082
1959,Makin' Love,Floyd Robinson,18,-16.13949124644097,4.355925324675325,1.7715097402597402,6.0,118.98865819415204,1126.5474829499833
1959,Put Your Head On My Shoulder,Paul Anka,18,-11.653825168915121,4.229151014274981,1.4362133734034561,8.0,131.2379552399107,948.4462926782243
1959,Sea Of Love,Phil Phillips With The Twilights,18,,,,,,
1959,Sleep Walk,Santo & Johnny,18,-11.993446318862704,4.506907199739964,1.3739639200390055,7.0,107.39979163524207,823.4842457855096
1959,Sorry (I Ran All The Way Home),The Impalas,18,-12.749837562191866,4.664528935715376,1.8222629409070088,8.0,104.03342509868098,951.7736411517345
1959,Donna,Ritchie Valens,17,-13.160079814932756,4.325037707390648,1.2681749622926093,7.0,131.88463058757876,900.9017125957224
1959,Dream Lover,Bobby Darin,17,-11.681175161776087,4.471629524261103,1.7695590327169275,8.0,104.13502861160619,653.4148042198684
1959,High Hopes,"Frank Sinatra ""and a bunch of kids""",17,,,,,,
1959,I Cried A Tear,LaVern Baker,17,-11.491165257015448,3.990497737556561,1.3467571644042233,8.0,143.63619366224754,946.1470026573053
1959,Kissin' Time,Bobby Rydell,17,-10.640781722486818,5.001566579634464,1.9613577023498694,6.0,108.30487791851704,869.0797511831764
1959,Lipstick On Your Collar,Connie Francis,17,-12.823565367033316,4.601646505376344,2.0386424731182795,8.0,65.86008081614669,722.637610145142
1959,Morgen,Ivo Robic and The Song-Masters,17,,,,,,
1959,Mr. Blue,The Fleetwoods,17,-11.143794944528251,4.171672462851723,1.0812519759721784,8.0,164.00848561244666,942.7969138764797
1959,Peter Gunn,Ray Anthony and His Orchestra,17,-11.976793932935907,5.152938741721854,2.099751655629139,8.0,125.04476390998066,847.5007895683066
1959,Red River Rock,Johnny And The Hurricanes,17,-13.063274841207742,4.671512143237015,1.5217160078000354,7.0,61.19269406832487,590.9363691343959
1959,Sea Cruise,Frankie Ford,17,-12.042019436447282,4.949440530460008,1.8419671225307364,8.0,106.22280344023652,877.6818179114752
1959,Stagger Lee,Lloyd Price,17,-12.502508831585844,4.594926350245499,1.8841243862520458,8.0,112.11384727946329,884.4634266510099
1959,The Happy Organ,"Dave ""Baby"" Cortez",17,-12.839814354076328,4.471842843779233,1.7238540692235735,7.0,89.89774209805053,724.3986998559981
1959,The Three Bells,The Browns,17,-17.951809984447387,4.3810364392888665,1.4464758542428446,8.0,104.24237024913776,738.0275497944394
1959,Venus,Frankie Avalon,17,-13.866636637883584,4.427696275995486,1.3861034983072706,6.0,107.6433750551917,680.9265675420465
1959,('til) I Kissed You,The Everly Brothers,16,-14.411953124881984,4.637145174371452,1.7193836171938361,6.0,121.72264187385298,781.5382292511717
1959,(Seven Little Girls) Sitting In The Back Seat,Paul Evans and the Curls,16,,,,,,
1959,Battle Hymn Of The Republic,The Mormon Tabernacle Choir,16,-17.62345563337969,4.604425212279556,1.7824951012410188,6.0,110.1642466520676,1025.1105992617966
1959,Come Softly To Me,The Fleetwoods,16,-18.20992094404786,4.45671167593328,1.319301032565528,4.0,133.67482857094504,730.1632970749955
1959,Deck Of Cards,Wink Martindale,16,-16.633503468898507,4.507259953161593,1.5303981264637003,8.0,148.30008950949454,785.135190985134
1959,Guitar Boogie Shuffle,The Virtues,16,-12.784607764722715,4.822368421052632,1.9900513478819,5.0,72.45811103680775,854.959639015663
1959,I've Had It,The Bell Notes,16,,,,,,
1959,It Was I,Skip And Flip,16,-12.343846316502924,5.051048470264695,2.0434857339291854,7.0,50.363890099662065,562.942254329006
1959,Just Ask Your Heart,Frankie Avalon,16,-16.414175612457807,4.660971365290302,1.8653694035753836,8.0,64.29682285246362,768.593284494541
1959,Kansas City,Wilbert Harrison,16,-9.29599325561539,4.505374716124148,2.0658591975775926,7.0,45.07554879988123,461.79623098225943
1959,Lonely Street,Andy Williams,16,-12.330422976184957,3.9701029473981104,1.078268227330419,7.0,128.9311245100568,890.6859427923678
1959,Love Potion No. 9,The Clovers,16,-14.431364898264517,4.427064313248123,1.8681274092107933,6.0,151.02671174537102,991.6198555430793
1959,Mary Lou,Ronnie Hawkins and The Hawks,16,-11.696759895553825,4.422796081923419,1.778806767586821,6.0,86.59207933754682,774.84708444842
1959,May You Always,The McGuire Sisters,16,-15.800481876047076,4.275887573964497,1.2970907297830374,2.0,151.23723470309938,852.7654796487385
1959,Mona Lisa,Carl Mann,16,-14.818276290314577,4.671375349270413,1.8696057125116423,6.0,109.51848257494969,935.284003055555
1959,Never Be Anyone Else But You,Ricky Nelson,16,-14.275418784184227,4.557523675903192,1.5864608909154683,7.0,97.20655767096521,696.6291688208231
1959,Only You,Franck Pourcel's French Fiddles,16,,,,,,
1959,Poison Ivy,The Coasters,16,-19.511659188970008,5.012161968808127,2.0263270854199456,7.0,104.66994757038778,791.1545457337483
1959,Quiet Village,The Exotic Sounds of Martin Denny,16,,,,,,
1959,So Fine,The Fiestas,16,-15.081501091035824,4.668319286068418,1.5501569988431665,5.0,135.4248120217577,963.4487660184473
1959,Teen Beat,Sandy Nelson,16,-18.413091970672237,5.62636112465464,2.4425483503981797,4.0,148.38326530384958,643.4670402884809
1959,The Angels Listened In,The Crests,16,-9.970969703750546,4.604470165635601,1.7689084015166634,5.0,126.96358392666491,808.5675668115795
1959,The Wonder Of You,Ray Peterson,16,-14.143055952121196,4.362084456424079,1.6091644204851752,7.0,133.4111946180334,982.6759853660941
1959,There Is Something On Your Mind,Big Jay McNeely And Band,16,,,,,,
1959,Waterloo,Stonewall Jackson,16,-7.046576217556914,4.385669291338583,1.8204724409448818,8.0,116.68811431026911,711.4438808007034
1959,You Were Mine,Fireflies,16,-13.333161743834788,4.272852912142152,1.4538993089832182,8.0,105.99226848610533,696.5290533145277
1959,(All of a Sudden) My Heart Sings,Paul Anka,15,-13.400984999886084,4.174482145126445,1.4128860083873427,8.0,97.28391453059692,855.9846351548396
1959,(Now and Then There's) A Fool Such As I,Elvis Presley With The Jordanaires,15,,,,,,
1959,16 Candles,The Crests,15,-9.29765555233793,4.4043680537606615,1.5024554148358749,6.0,105.02995519999475,796.6524685849405
1959,A Teenager In Love,Dion & The Belmonts,15,-13.356976801878393,4.410272088046469,1.3887190461632528,8.0,142.80213353517982,799.5351006314337
1959,Charlie Brown,The Coasters,15,-18.578797529636127,5.092840414854466,1.936768149882904,6.0,127.73032283055295,733.5415653072838
1959,Come To Me,Marv Johnson,15,-11.308960218808163,4.596047563222241,1.828671914252219,6.0,134.0995849078132,835.6521862203639
1959,Don't You Know,Della Reese,15,-15.780895813319923,4.095347413529232,1.4863789409243955,8.0,91.35304636999751,908.5160979034486
1959,Enchanted,The Platters,15,-7.009754502724308,4.115961257794878,1.3888815178452965,7.0,130.00685825518437,805.4646538417737
1959,Forty Miles Of Bad Road,Duane Eddy And The Rebels,15,,,,,,
1959,Frankie,Connie Francis,15,-12.17617664244831,4.3166153846153845,1.4661538461538461,8.0,90.21944229221401,934.5026518252517
1959,Hey Little Girl,Dee Clark,15,-15.963770173772318,5.220753983676642,2.375825884181889,3.0,112.60701229345415,729.6636624027611
1959,Hushabye,The Mystics,15,-13.28996256426442,4.282631658367285,1.3384638599668024,7.0,112.48133720201326,822.1243400802197
1959,"I Loves You, Porgy",Nina Simone,15,-20.848627588492327,4.304400606980273,0.8679817905918058,7.0,113.53379578486967,775.4543337108365
1959,In The Mood,Ernie Fields & Orch.,15,-7.939450938985361,4.870062965082999,2.2229536348025185,7.0,82.718094638149,861.3310298720056
1959,Just Keep It Up,Dee Clark,15,-13.302895075917645,4.614579507895703,2.163422695556372,8.0,190.96498717370332,828.7109693124629
1959,Lonely Boy,Paul Anka,15,-14.913708419443656,4.410463697376449,1.663209273947529,8.0,102.55427297856932,933.1304113935016
1959,Lonely Teardrops,Jackie Wilson,15,-9.05306095952945,4.692825433194902,1.961907489617643,7.0,110.25903976552405,873.235389178963
1959,Matilda,Cookie And His Cupcakes,15,,,,,,
1959,Petite Fleur (Little Flower),Chris Barber's Jazz Band,15,,,,,,
1959,Small World,Johnny Mathis,15,-13.214450693937723,3.999422299248989,1.1297515886770653,8.0,107.82019817191792,760.2666698199015
1959,Tall Paul,Annette With The Afterbeats,15,,,,,,
1959,Tallahassee Lassie,Freddy Cannon,15,-9.227561381892448,5.041052631578947,2.2087719298245614,5.0,117.85538489738194,686.5174225885717
1959,What'd I Say (Part I & II),Ray Charles and his Orchestra,15,,,,,,
1959,A Big Hunk O' Love,Elvis Presley With The Jordanaires,14,,,,,,
1959,A Boy Without A Girl,Frankie Avalon,14,-6.394470225213101,5.387939698492462,2.719849246231156,7.0,152.64360308456435,1048.6000323524113
1959,Caribbean,Mitchell Torok,14,-16.297937107375976,4.6961824805955965,2.114683985426897,6.0,159.09456044596982,922.9605695475306
1959,Crossfire,Johnny And The Hurricanes,14,-12.497750531444282,4.3771065182829885,1.6608903020667727,5.0,95.2039033759163,888.1327673823631
1959,Danny Boy,Conway Twitty,14,-11.85023099776217,4.326377295492487,1.6363383416805788,8.0,92.57237900543731,845.3807553771112
1959,"Goodbye Jimmy, Goodbye",Kathy Linden,14,-15.384257093052183,4.024598183088749,1.1902166317260656,7.0,113.97901761890364,924.7855786185423
1959,Gotta Travel On,Billy Grammer,14,-16.187661363939668,4.658681721086359,1.798901434238633,8.0,94.85521136779994,781.2132115560063
1959,I Ain't Never,Webb Pierce,14,-11.767217821575725,4.758794985847149,1.9587545491306106,6.0,111.47781224702084,958.821440941446
1959,I'm Gonna Get Married,Lloyd Price,14,-16.370739211663807,4.683907217980118,1.7349085146232532,7.0,105.59685285674794,1129.1263604443782
1959,I've Come Of Age,Billy Storm,14,,,,,,
1959,It Doesn't Matter Anymore,Buddy Holly,14,-15.489935038602995,4.2094422165512215,1.4516952242070726,5.0,134.60054618716856,919.1543900606304
1959,La Bamba,Ritchie Valens,14,-8.7236430218469,4.6207330219187925,1.7585339561624147,8.0,100.61863379686024,856.3137090104269
1959,Lonely For You,Gary Stites,14,,,,,,
1959,My Happiness,Connie Francis,14,-14.479113991535005,4.179851571135323,1.2578556766145588,8.0,97.9410740560595,995.4519340008192
1960,Finger Poppin' Time,Hank Ballard And The Midnighters,26,-8.79466707570745,4.871006813020439,1.9642694928084785,6.0,74.62472825365597,697.9666757758446
1960,Sixteen Reasons,Connie Stevens,24,-12.534894496471821,4.078400316768956,1.1965947337160958,7.0,116.21711208883853,909.6173826149014
1960,I'm Sorry,Brenda Lee,23,-17.823427851824196,4.3267086073777525,1.426651415498999,8.0,142.0313911572991,955.1899173021403
1960,He'll Have To Go,Jim Reeves,22,-12.152781226539322,4.18798418972332,1.2338339920948616,8.0,123.6030371811134,865.8591221008929
1960,"Please Help Me, I'm Falling",Hank Locklin,22,-8.444438297586434,3.9237218477724807,1.2260397830018084,6.0,122.200732150946,790.7926929004875
1960,Sweet Nothin's,Brenda Lee,22,-15.307871250894895,4.627228525121556,1.6632090761750404,5.0,109.61298382022107,941.3221229454431
1960,Lonely Weekends,Charlie Rich,21,-14.431670075707807,5.186646433990895,2.14453717754173,7.0,124.03590955656007,797.129577366817
1960,Only The Lonely (Know How I Feel),Roy Orbison,21,-17.89226821440145,4.765666719019946,1.618030469608921,7.0,141.9626086871953,869.305487418731
1960,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,21,-15.379480351079026,4.122175597159457,1.2821174951581666,8.0,102.89297967248888,764.7022286794903
1960,Greenfields,The Brothers Four,20,-15.92920419995704,4.4199666794822505,1.4609765474817378,7.0,96.73703645514763,780.7209649155775
1960,It's Now Or Never,Elvis Presley With The Jordanaires,20,,,,,,
1960,Let The Little Girl Dance,Billy Bland,20,-9.728663952384666,4.830304031725049,1.8430270984798414,8.0,124.23377014149285,1106.5201247689145
1960,Mission Bell,Donnie Brooks,20,-13.74622937556705,4.452502891128366,1.548488352882868,6.0,80.54360514290919,658.638222722198
1960,Theme From The Apartment,Ferrante & Teicher,20,-14.507041195201667,3.935408861904147,1.214830125306808,8.0,98.56483232826703,798.7178690868265
1960,Devil Or Angel,Bobby Vee,19,-15.430104445539278,4.306898246763887,1.4835326888415534,7.0,138.84655604939857,865.5152466968175
1960,Hot Rod Lincoln,Charlie Ryan and the Timberline Riders,19,,,,,,
1960,Love You So,Ron Holden with The Thunderbirds,19,-15.358631068462035,4.379204517554628,1.220721826663393,7.0,149.05354835291848,880.7726377531277
1960,Mountain Of Love,Harold Dorman,19,-10.088287773180278,4.395614722004699,1.6651527016444791,8.0,103.2627847394349,785.7172280771605
1960,Everybody's Somebody's Fool,Connie Francis,18,-14.70744553258096,4.279110083790812,1.6567466050274486,7.0,120.87478125643808,827.6093990840754
1960,Image Of A Girl,Safaris with The Phantom's Band,18,,,,,,
1960,Mule Skinner Blues,The Fendermen,18,-12.517412021767745,4.45484685822545,1.676981370382065,7.0,97.35271287880073,908.9158389380756
1960,Sink The Bismark,Johnny Horton,18,-20.153445656038627,5.00294083049053,2.2774967650864606,7.0,106.12362460730093,761.9619964761682
1960,The Twist,Chubby Checker,18,-6.984276782026132,5.116499112950916,1.9231224127735067,4.0,113.71657307988153,829.5392015455233
